Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Patrick van Aanholt,845.0,1116.0,17.0,28.0
Rolando Aarons,81.0,115.0,3.0,6.0
Rolando Aarons,27.0,41.0,0.0,1.0
Ignazio Abate,625.0,774.0,11.0,20.0
Aymen Abdennour,304.0,336.0,0.0,0.0
Aly Abeid,29.0,38.0,2.0,2.0
Mehdi Abeid,519.0,611.0,6.0,2.0
David Abraham,1081.0,1313.0,6.0,3.0
Tammy Abraham,208.0,309.0,10.0,7.0
Amir Abrashi,260.0,335.0,4.0,4.0
Francesco Acerbi,1359.0,1643.0,13.0,6.0
Afriyie Acquah,403.0,480.0,3.0,2.0
Charlie Adam,169.0,281.0,7.0,7.0
Antonio Adán,714.0,1035.0,2.0,1.0
Aday,695.0,1006.0,23.0,29.0
Khaled Adénon,958.0,1168.0,3.0,1.0
Claud Adjapong,360.0,514.0,9.0,6.0
René Adler,241.0,386.0,1.0,0.0
Ali Adnan Kadhim,588.0,902.0,21.0,18.0
Adrián,187.0,430.0,0.0,0.0
Aritz Aduriz,329.0,509.0,11.0,10.0
Ibrahim Afellay,70.0,81.0,0.0,0.0
Benik Afobe,106.0,145.0,2.0,3.0
Martin Agirregabiria,598.0,873.0,11.0,11.0
Imanol Agirretxe,36.0,56.0,1.0,0.0
Sergio Agüero,530.0,647.0,37.0,27.0
Ruben Aguilar,1114.0,1478.0,31.0,30.0
Matías Aguirregaray,489.0,668.0,7.0,18.0
Jean-Eudes Aholou,1147.0,1346.0,11.0,9.0
Ailton,45.0,62.0,2.0,2.0
Youssef Aït Bennasser,938.0,1145.0,16.0,6.0
Arlind Ajeti,286.0,365.0,5.0,2.0
Manuel Akanji,521.0,604.0,1.0,3.0
Nathan Aké,1325.0,1615.0,7.0,3.0
Ager Aketxe,32.0,41.0,0.0,0.0
Chadrac Akolo,242.0,316.0,13.0,13.0
Kevin Akpoguma,866.0,1010.0,7.0,4.0
David Alaba,1120.0,1320.0,20.0,25.0
Lucas Alario,302.0,400.0,11.0,6.0
David Alba,6.0,11.0,0.0,0.0
Jordi Alba,1985.0,2323.0,38.0,40.0
Raúl Albentosa,600.0,782.0,3.0,3.0
Luis Alberto,1339.0,1824.0,91.0,79.0
Raúl Albiol,2223.0,2510.0,7.0,3.0
Miiko Albornoz,324.0,423.0,7.0,11.0
Marc Albrighton,747.0,1260.0,42.0,38.0
Paco Alcácer,193.0,236.0,10.0,9.0
Pedro Alcalá,208.0,307.0,1.0,1.0
Thiago Alcántara,1190.0,1309.0,29.0,18.0
David Alcibiade,69.0,94.0,2.0,2.0
Toby Alderweireld,782.0,923.0,3.0,8.0
Steve Aldo One,18.0,22.0,0.0,0.0
Álex Alegría,110.0,154.0,3.0,2.0
