Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Ismael Aaneba,Ligue 1,"FW,DF",21.0,2,0,0.1,0,0,0,0
Patrick van Aanholt,Premier League,DF,30.0,10,9,9.2,0,1,1,0
Issah Abbas,Bundesliga,"DF,FW",22.0,2,0,0.2,0,0,0,0
Yunis Abdelhamid,Ligue 1,DF,33.0,19,19,19.0,2,0,1,0
Mehdi Abeid,Ligue 1,MF,28.0,17,14,13.7,0,0,5,0
Laurent Abergel,Ligue 1,MF,27.0,19,16,16.2,0,0,2,0
Charles Abi,Ligue 1,"FW,MF",20.0,8,3,3.3,1,0,0,0
David Abraham,Bundesliga,DF,34.0,14,14,13.6,1,0,5,1
Tammy Abraham,Premier League,FW,23.0,16,9,10.0,6,1,0,0
Amir Abrashi,Bundesliga,MF,30.0,5,0,0.7,0,0,0,0
Gennaro Acampora,Serie A,"MF,FW",26.0,3,2,2.3,0,0,0,0
Francesco Acerbi,Serie A,DF,32.0,15,15,14.3,0,1,3,0
Ragnar Ache,Bundesliga,FW,22.0,2,0,0.4,0,0,0,0
Marcos Acuña,La Liga,DF,29.0,15,14,13.6,0,0,1,0
Che Adams,Premier League,FW,24.0,17,17,15.7,4,4,1,0
Tyler Adams,Bundesliga,"MF,DF",21.0,12,9,9.7,0,0,1,0
Sargis Adamyan,Bundesliga,"FW,MF",27.0,8,0,1.5,1,2,0,0
Tosin Adarabioyo,Premier League,DF,23.0,13,13,13.0,0,0,1,0
Bobby Adekanye,La Liga,"FW,MF",21.0,3,0,0.4,0,0,0,0
Yacine Adli,Ligue 1,"MF,FW",20.0,18,8,10.2,1,3,3,0
Andrea Adorante,Serie A,FW,20.0,1,0,0.1,0,0,0,0
Adrián,Premier League,GK,34.0,2,2,2.0,0,0,0,0
Martin Agirregabiria,La Liga,DF,24.0,10,4,5.3,0,0,0,0
Lucien Agoume,Serie A,MF,18.0,7,6,6.0,0,0,2,0
Felix Agu,Bundesliga,"DF,FW",21.0,5,2,2.6,1,0,0,0
Kevin Agudelo,Serie A,FW,22.0,14,7,7.1,1,0,2,0
Nayef Aguerd,Ligue 1,DF,24.0,18,18,18.0,3,1,1,0
Sergio Agüero,Premier League,FW,32.0,5,2,1.6,0,0,0,0
Ruben Aguilar,Ligue 1,DF,27.0,19,18,17.4,1,2,6,0
Matteo Ahlinvi,Ligue 1,MF,21.0,11,8,7.8,2,0,0,0
Jean-Eudes Aholou,Ligue 1,MF,26.0,12,11,10.4,1,1,6,0
Jean-Eudes Aholou,Ligue 1,MF,26.0,2,0,0.4,0,0,0,0
Joseph Aidoo,La Liga,DF,25.0,13,8,7.7,0,0,1,0
Ola Aina,Premier League,DF,24.0,14,14,13.9,1,0,0,0
Rayan Aït Nouri,Premier League,DF,19.0,10,7,7.2,1,1,0,0
Rayan Aït Nouri,Ligue 1,DF,19.0,3,2,2.1,0,1,0,0
Semi Ajayi,Premier League,DF,27.0,18,18,18.0,2,0,3,0
Ludovic Ajorque,Ligue 1,FW,26.0,19,18,17.7,9,4,4,0
Manuel Akanji,Bundesliga,DF,25.0,15,14,14.4,2,0,2,0
Carlos Akapo,La Liga,DF,27.0,7,5,4.9,0,0,2,1
Marley Aké,Ligue 1,FW,20.0,9,0,1.6,0,0,0,0
Nathan Aké,Premier League,DF,25.0,6,5,5.2,1,0,3,0
Paul Akouokou,La Liga,MF,23.0,5,1,1.7,0,0,4,1
Jean-Daniel Akpa-Akpro,Serie A,"MF,FW",28.0,16,2,5.7,0,1,7,0
Kevin Akpoguma,Bundesliga,DF,25.0,13,11,10.5,0,0,1,0
David Alaba,Bundesliga,DF,28.0,15,14,14.1,1,0,1,0
Sofiane Alakouch,Ligue 1,DF,22.0,9,6,6.1,0,2,1,0
Lucas Alario,Bundesliga,FW,28.0,14,7,8.1,8,1,1,0
Jordi Alba,La Liga,DF,31.0,16,16,15.3,1,3,6,0
Luis Alberto,Serie A,MF,28.0,16,16,14.2,6,0,3,0
Raúl Albiol,La Liga,DF,35.0,18,18,17.8,0,0,3,0
Marc Albrighton,Premier League,"DF,FW",31.0,13,9,9.7,0,2,2,0
Paco Alcácer,La Liga,FW,27.0,10,9,7.9,5,2,0,0
Pedro Alcalá,La Liga,DF,31.0,7,4,5.5,0,0,1,0
Thiago Alcántara,Premier League,MF,29.0,5,3,3.7,0,0,1,0
Rubén Alcaraz,La Liga,MF,29.0,14,11,11.0,0,0,4,0
Omar Alderete,Bundesliga,DF,24.0,9,9,8.8,0,0,1,0
Toby Alderweireld,Premier League,DF,31.0,11,11,10.9,1,0,0,0
Iván Alejo,La Liga,"MF,FW",25.0,10,2,3.3,1,0,2,0
Carles Aleñá,La Liga,MF,23.0,2,0,0.5,0,0,1,0
Carles Aleñá,La Liga,MF,23.0,1,1,1.0,0,0,1,0
Trent Alexander-Arnold,Premier League,DF,22.0,16,15,14.5,0,2,1,0
Mohamed Ali Cho,Ligue 1,"FW,MF",17.0,9,0,1.5,0,0,1,0
Ezgjan Alioski,Premier League,"DF,MF",28.0,16,13,11.5,2,0,2,0
Rachid Alioui,Ligue 1,FW,28.0,1,0,0.2,0,0,0,0
Alisson,Premier League,GK,28.0,15,15,15.0,0,0,1,0
Saturnin Allagbé,Ligue 1,GK,27.0,4,4,4.0,0,0,2,0
Allan,Premier League,MF,30.0,12,12,11.4,0,0,4,0
Dele Alli,Premier League,"MF,FW",24.0,4,1,0.9,0,0,0,0
Miguel Almirón,Premier League,"MF,FW",26.0,16,10,10.3,1,1,1,0
Marcos Alonso,Premier League,DF,30.0,3,3,2.5,0,0,1,0
Sergio Álvarez,La Liga,MF,28.0,16,10,10.5,0,0,3,0
Yeray Álvarez,La Liga,DF,25.0,11,11,11.0,0,0,5,0
Bruno Alves,Serie A,DF,39.0,14,14,14.0,0,0,3,0
Steven Alzate,Premier League,MF,22.0,8,5,5.8,0,0,1,0
Ibrahim Amadou,Ligue 1,MF,27.0,10,9,8.0,0,0,2,0
Romain Amalfitano,Ligue 1,"FW,DF",31.0,2,1,1.3,0,0,0,0
Daniel Amartey,Premier League,DF,26.0,4,3,2.9,0,0,1,0
Jordan Amavi,Ligue 1,DF,26.0,9,9,8.2,1,0,3,1
Thierry Ambrose,Ligue 1,FW,23.0,11,2,3.3,0,0,0,0
Nadiem Amiri,Bundesliga,MF,24.0,16,13,13.3,2,6,2,0
Ethan Ampadu,Premier League,"MF,DF",20.0,13,12,11.8,0,0,1,0
Sofyan Amrabat,Serie A,MF,24.0,17,17,16.6,0,0,3,0
Jon Ander Garrido,La Liga,MF,31.0,9,2,2.6,0,0,1,0
Joachim Andersen,Premier League,DF,24.0,11,11,10.7,0,0,3,1
Joachim Andersen,Ligue 1,DF,24.0,3,2,2.1,0,0,1,0
Djavan Anderson,Serie A,DF,25.0,3,1,0.8,0,0,0,0
Elliot Anderson,Premier League,MF,18.0,1,0,0.0,0,0,0,0
Felipe Anderson,Premier League,"FW,MF",27.0,2,0,0.0,0,0,0,0
Sebastian Andersson,Bundesliga,FW,29.0,10,9,8.2,2,0,0,0
Nícolas Andrade,Serie A,GK,32.0,2,2,2.0,0,0,0,0
Benjamin André,Ligue 1,MF,30.0,19,19,17.4,0,0,4,0
Robert Andrich,Bundesliga,MF,26.0,13,13,12.1,4,1,2,1
Victorien Angban,Ligue 1,MF,24.0,19,17,14.9,0,1,4,0
Angeliño,Bundesliga,"DF,FW",24.0,15,15,14.9,4,2,1,0
Philip Ankhrah,Serie A,MF,18.0,1,0,0.1,0,0,0,0
Cristian Ansaldi,Serie A,DF,34.0,11,4,4.5,1,0,0,0
Waldemar Anton,Bundesliga,DF,24.0,13,12,12.2,0,1,2,0
Michail Antonio,Premier League,FW,30.0,11,9,8.3,5,0,1,0
Houssem Aouar,Ligue 1,MF,22.0,16,14,12.0,3,3,2,1
Adil Aouchiche,Ligue 1,"MF,FW",18.0,18,12,10.8,2,3,1,0
Dennis Appiah,Ligue 1,DF,28.0,12,9,9.1,0,2,1,0
Aritz Arambarri,La Liga,DF,22.0,1,0,0.3,0,0,0,0
Mauro Arambarri,La Liga,MF,25.0,16,16,15.9,1,0,5,0
Charles Aránguiz,Bundesliga,MF,31.0,6,5,4.5,0,0,2,0
Luiz Araújo,Ligue 1,MF,24.0,12,8,7.8,3,1,3,0
Néstor Araujo,La Liga,DF,29.0,16,12,12.9,0,0,4,0
Ronald Araújo,La Liga,DF,21.0,9,8,8.3,1,0,0,0
Anaitz Arbilla,La Liga,DF,33.0,15,12,12.4,0,1,4,0
Alphonse Areola,Premier League,GK,27.0,16,16,16.0,0,0,0,0
Santiago Arias,Bundesliga,DF,29.0,1,1,1.0,0,0,0,0
Karim Aribi,Ligue 1,FW,26.0,9,2,2.7,0,0,0,0
Unai Arietaleanizbeaskoa,La Liga,"FW,MF",22.0,3,0,0.4,0,0,1,0
Stuart Armstrong,Premier League,MF,28.0,15,14,13.5,2,2,0,0
Maximilian Arnold,Bundesliga,MF,26.0,14,14,13.1,2,4,4,1
Toluwalas Arokodare,Bundesliga,FW,20.0,6,0,0.8,0,0,0,0
Sergio Arribas,La Liga,FW,19.0,1,0,0.0,0,0,0,0
Kepa Arrizabalaga,Premier League,GK,26.0,3,3,3.0,0,0,0,0
Tolgay Arslan,Serie A,MF,30.0,13,11,8.7,2,0,6,0
Sergio Asenjo,La Liga,GK,31.0,18,18,18.0,0,0,0,0
Marco Asensio,La Liga,FW,24.0,16,8,8.6,1,2,1,0
Kristoffer Askildsen,Serie A,MF,20.0,3,0,0.5,0,0,2,0
Iago Aspas,La Liga,FW,33.0,17,17,16.3,9,6,3,0
Roger Assalé,Ligue 1,"FW,MF",27.0,7,5,4.0,0,0,0,1
Youcef Attal,Ligue 1,DF,24.0,9,6,4.9,0,0,0,0
Pierre-Emerick Aubameyang,Premier League,FW,31.0,17,17,16.8,5,1,2,0
Emil Audero,Serie A,GK,24.0,18,18,18.0,0,1,0,0
Tommaso Augello,Serie A,DF,26.0,17,17,16.3,1,2,2,1
Jean-Kévin Augustin,Ligue 1,FW,23.0,3,0,0.4,0,0,0,0
Ludwig Augustinsson,Bundesliga,DF,26.0,12,12,11.8,0,4,4,0
Serge Aurier,Premier League,DF,28.0,10,10,9.7,2,1,0,0
Charlie Austin,Premier League,FW,31.0,5,0,1.5,0,0,0,0
Taiwo Awoniyi,Bundesliga,FW,23.0,14,11,10.1,5,1,0,0
Jordan Ayew,Premier League,"FW,MF",29.0,15,9,9.5,1,0,0,0
Kaan Ayhan,Serie A,DF,26.0,14,6,7.7,0,0,3,0
Luke Ayling,Premier League,DF,29.0,18,18,17.8,0,0,3,0
Ramon Azeez,La Liga,"MF,DF",28.0,2,1,1.1,0,0,0,0
César Azpilicueta,Premier League,DF,31.0,9,7,7.6,0,1,3,0
Ludovic Baal,Ligue 1,DF,34.0,4,3,3.0,0,0,0,0
Carlos Bacca,La Liga,FW,34.0,10,2,2.1,0,0,1,0
Loïc Bade,Ligue 1,DF,20.0,16,16,15.8,0,0,6,1
Milan Badelj,Serie A,MF,31.0,14,13,11.4,0,1,4,0
