Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Maximilian Arnold,1105.0,1469.0,39.0,31.0
Kepa Arrizabalaga,974.0,1136.0,0.0,0.0
Harry Arter,534.0,689.0,12.0,20.0
Kwadwo Asamoah,1933.0,2216.0,30.0,44.0
Takuma Asano,118.0,170.0,3.0,7.0
Santiago Ascacíbar,923.0,1140.0,13.0,10.0
Sergio Asenjo,521.0,805.0,0.0,0.0
Marco Asensio,842.0,1020.0,33.0,50.0
Iago Aspas,722.0,904.0,52.0,33.0
Simon Asta,21.0,35.0,0.0,0.0
Christian Atsu,335.0,454.0,14.0,17.0
Youcef Attal,1027.0,1278.0,27.0,24.0
Pierre-Emerick Aubameyang,526.0,742.0,33.0,33.0
Emil Audero,849.0,1158.0,2.0,0.0
Jean-Kévin Augustin,65.0,80.0,8.0,2.0
Ludwig Augustinsson,1559.0,1979.0,25.0,43.0
Serge Aurier,253.0,343.0,5.0,11.0
Charlie Austin,127.0,208.0,9.0,4.0
Ezequiel Ávila,314.0,576.0,21.0,17.0
Jordan Ayew,201.0,273.0,13.0,6.0
Kaan Ayhan,1265.0,1430.0,5.0,6.0
Floyd Ayité,159.0,209.0,8.0,7.0
César Azpilicueta,2471.0,2892.0,25.0,47.0
Abdoulaye Ba,856.0,1037.0,1.0,0.0
Florian Baak,0.0,0.0,0.0,0.0
Ludovic Baal,70.0,90.0,0.0,1.0
Khouma Babacar,248.0,303.0,11.0,9.0
Ryan Babel,410.0,515.0,23.0,10.0
Carlos Bacca,192.0,274.0,23.0,6.0
Juninho Bacuna,559.0,763.0,17.0,12.0
Leandro Bacuna,114.0,168.0,1.0,5.0
Milan Badelj,736.0,877.0,12.0,12.0
Holger Badstuber,241.0,265.0,0.0,0.0
Stéphane Bahoken,349.0,512.0,25.0,12.0
Daniel Baier,1226.0,1604.0,22.0,16.0
Leon Bailey,637.0,961.0,44.0,33.0
Eric Bailly,267.0,310.0,0.0,0.0
Leighton Baines,206.0,261.0,4.0,2.0
Marvin Bakalorz,305.0,406.0,10.0,6.0
Tiemoué Bakayoko,1177.0,1353.0,25.0,14.0
Ridle Baku,356.0,439.0,6.0,4.0
Fabián Balbuena,655.0,838.0,3.0,0.0
Keita Baldé,259.0,344.0,17.0,16.0
Gareth Bale,569.0,783.0,17.0,23.0
Mikel Balenziaga,174.0,230.0,3.0,3.0
Andrija Balić,24.0,25.0,1.0,1.0
Fodé Ballo-Touré,580.0,775.0,7.0,10.0
Fodé Ballo-Touré,633.0,835.0,21.0,19.0
Florent Balmont,579.0,711.0,16.0,13.0
