Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Alberto Redondo,13.0,29.0,0.0,0.0
Alberto Soro,45.0,61.0,3.0,4.0
Alberto de la Bella,812.0,1035.0,17.0,27.0
Albian Ajeti,15.0,18.0,2.0,0.0
Albin Ekdal,3394.0,4004.0,52.0,37.0
Aleandro Rosi,565.0,812.0,8.0,6.0
Aleix Febas,585.0,691.0,19.0,9.0
Aleix García,1363.0,1675.0,36.0,18.0
Aleix Vidal,1243.0,1655.0,60.0,49.0
Alejandro Arribas,96.0,120.0,0.0,0.0
Alejandro Baena,17.0,18.0,0.0,0.0
Alejandro Blanco,49.0,71.0,2.0,0.0
Alejandro Blesa,3.0,5.0,0.0,0.0
Alejandro Gutiérrez Mozo,14.0,16.0,0.0,0.0
Alejandro López,66.0,76.0,0.0,1.0
Alejandro Millán,0.0,1.0,0.0,0.0
Alejandro Pozo Pozo,976.0,1332.0,23.0,27.0
Alejandro Rodríguez,2.0,5.0,0.0,0.0
Aleksa Terzić,3.0,6.0,0.0,0.0
Aleksandar Dragović,2818.0,3174.0,8.0,8.0
Aleksandar Jovanović,158.0,335.0,0.0,0.0
Aleksandar Katai,9.0,11.0,0.0,0.0
Aleksandar Kolarov,5355.0,6873.0,209.0,175.0
Aleksandar Mitrović,957.0,1314.0,40.0,21.0
Aleksandar Radovanović,30.0,42.0,0.0,0.0
Aleksandar Sedlar,325.0,399.0,1.0,0.0
Aleksandar Tonev,65.0,110.0,3.0,5.0
Aleksandar Trajkovski,121.0,167.0,14.0,4.0
Aleksandr Golovin,1826.0,2372.0,79.0,67.0
Aleksei Miranchuk,86.0,114.0,2.0,3.0
Alen Halilović,373.0,514.0,21.0,21.0
Alessandro Bastoni,2803.0,3195.0,23.0,21.0
Alessandro Buongiorno,122.0,138.0,0.0,0.0
Alessandro Deiola,713.0,964.0,23.0,12.0
Alessandro Florenzi,3893.0,4981.0,116.0,151.0
Alessandro Gamberini,603.0,710.0,0.0,1.0
Alessandro Matri,285.0,386.0,23.0,9.0
Alessandro Murgia,1465.0,1753.0,56.0,14.0
Alessandro Schöpf,1445.0,1781.0,31.0,20.0
Alessandro Semprini,273.0,356.0,7.0,6.0
Alessandro Tripaldelli,121.0,166.0,0.0,1.0
Alessandro Tuia,334.0,403.0,3.0,3.0
Alessio Cerci,318.0,487.0,21.0,17.0
Alessio Cragno,1996.0,3009.0,2.0,2.0
Alessio Romagnoli,5363.0,5873.0,20.0,7.0
Alessio da Cruz,23.0,29.0,0.0,0.0
Alex Cordaz,1089.0,1846.0,2.0,0.0
Alex Ferrari,1545.0,1969.0,7.0,14.0
Alex Iwobi,2553.0,3240.0,108.0,146.0
Alex McCarthy,1320.0,2428.0,1.0,2.0
Alex Meret,1170.0,1516.0,1.0,0.0
Alex Oxlade-Chamberlain,1356.0,1752.0,58.0,80.0
Alex Pritchard,954.0,1371.0,55.0,41.0
Alex Sandro,4968.0,5926.0,105.0,144.0
Alex Sola,61.0,76.0,1.0,1.0
Alex Telles,301.0,379.0,8.0,9.0
Alexander,224.0,333.0,13.0,11.0
Alexander Djiku,3823.0,4533.0,13.0,14.0
Alexander Esswein,530.0,771.0,25.0,23.0
Alexander Fuchs,182.0,243.0,9.0,2.0
Alexander Hack,1606.0,2058.0,15.0,16.0
Alexander Isak,382.0,516.0,20.0,20.0
Alexander Kačaniklić,64.0,96.0,1.0,3.0
Alexander Meier,2.0,2.0,0.0,0.0
Alexander Nübel,1088.0,1558.0,1.0,1.0
Alexander Schwolow,2809.0,4175.0,5.0,3.0
Alexander Søderlund,51.0,68.0,4.0,3.0
Alexander Sørloth,242.0,358.0,17.0,7.0
Alexander Tettey,1100.0,1242.0,5.0,4.0
Alexandre Lacazette,1701.0,2267.0,96.0,113.0
Alexandre Lauray,190.0,217.0,0.0,0.0
Alexandre Letellier,161.0,256.0,0.0,0.0
Alexandre Mendy,328.0,446.0,20.0,9.0
Alexandre Olliero,17.0,23.0,0.0,0.0
Alexandre Oukidja,1052.0,1918.0,6.0,2.0
Alexandru Maxim,699.0,925.0,41.0,19.0
Alexis,523.0,731.0,3.0,4.0
Alexis Alegue,1.0,1.0,0.0,0.0
Alexis Blin,2214.0,2721.0,21.0,16.0
Alexis Claude-Maurice,665.0,795.0,26.0,20.0
Alexis Mac Allister,162.0,227.0,9.0,3.0
Alexis Saelemaekers,547.0,699.0,25.0,19.0
Alexis Sánchez,1899.0,2637.0,141.0,185.0
Alexis Trouillet,46.0,56.0,2.0,2.0
Aleš Matějů,944.0,1154.0,10.0,10.0
Alfa Semedo,18.0,25.0,1.0,0.0
Alfie Mawson,1785.0,2217.0,7.0,4.0
Alfons Amade,1.0,2.0,0.0,0.0
Alfonso Espino,385.0,571.0,9.0,9.0
Alfonso González,11.0,11.0,1.0,1.0
Alfonso Pedraza,2261.0,3117.0,74.0,80.0
Alfred Duncan,2078.0,2657.0,85.0,88.0
Alfred Gomis,1669.0,2495.0,1.0,2.0
Alfred N'Diaye,29.0,33.0,0.0,0.0
Alfredo Donnarumma,307.0,445.0,16.0,15.0
Alfredo Morales,920.0,1248.0,18.0,17.0
Alfreð Finnbogason,753.0,1135.0,69.0,35.0
Ali Adnan Kadhim,666.0,1025.0,24.0,20.0
Alin Toșca,819.0,955.0,3.0,4.0
Alireza Jahanbakhsh,373.0,555.0,13.0,17.0
Alisson,3190.0,3837.0,3.0,1.0
Alkhaly Momo Cissé,9.0,9.0,1.0,0.0
Allan,4767.0,5488.0,92.0,105.0
Allan Nyom,2107.0,3061.0,63.0,89.0
Allan Saint-Maximin,1875.0,2527.0,148.0,83.0
Almamy Touré,1464.0,2039.0,46.0,50.0
Alois Confais,217.0,274.0,2.0,3.0
Alphonse Areola,1416.0,1694.0,0.0,0.0
Alphonso Davies,2066.0,2377.0,39.0,40.0
Alvaro Bravo Jiménez,8.0,11.0,0.0,0.0
