Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Brandon Soppy,Ligue 1,"DF,MF",18.0,5,3,3.3,0,0,0,0
Brandon Williams,Premier League,DF,20.0,18,11,11.299999999999999,1,0,6,0
Branimir Hrgota,Bundesliga,FW,25.0,7,2,2.3000000000000003,0,0,1,0
Branislav Ivanović,Premier League,DF,36.0,11,8,8.2,0,0,2,0
Brayan Vera,Serie A,"DF,MF",20.0,8,1,1.7,0,1,0,0
Breel Embolo,Bundesliga,"FW,MF",23.0,83,53,52.8,19,6,15,0
Brendan Chardonnet,Ligue 1,DF,26.0,27,21,21.299999999999997,1,0,6,1
Brian Behrendt,Bundesliga,DF,29.0,3,0,0.9,0,0,0,0
Brian Fernández,Ligue 1,FW,22.0,7,0,1.4,0,0,0,0
Brice Samba,Ligue 1,GK,24.0,42,41,41.5,0,0,1,0
Bridge Ndilu,Ligue 1,"FW,MF",20.0,5,0,0.4,0,0,1,0
Bright Gyamfi,Serie A,"DF,MF",21.0,9,2,3.6,0,0,1,0
Brighton Labeau,Ligue 1,FW,21.0,2,0,0.3,0,0,1,0
Brown Ideye,La Liga,FW,28.0,13,8,8.2,1,0,2,0
Bruma,Bundesliga,"MF,FW",23.0,42,22,24.0,5,3,1,0
Bruno,Premier League,DF,37.0,39,37,35.0,0,1,5,0
Bruno Alves,Serie A,DF,39.0,80,78,76.2,4,1,16,1
Bruno Ecuele Manga,Ligue 1,DF,32.0,85,84,84.5,1,1,3,0
Bruno Fernandes,Premier League,MF,26.0,33,32,30.599999999999998,19,14,6,0
Bruno Gama,La Liga,"FW,MF",29.0,6,1,1.3,0,0,1,0
Bruno Gaspar,Serie A,DF,24.0,15,6,8.7,0,2,2,0
Bruno González,La Liga,DF,30.0,66,57,58.1,1,3,18,1
Bruno Guimarães,Ligue 1,MF,23.0,20,13,12.9,1,1,4,0
Bruno Jordão,Premier League,FW,20.0,4,1,1.1,0,0,0,0
Bruno Martella,Serie A,"DF,MF",26.0,54,43,43.2,1,3,6,0
Bruno Martins Indi,Premier League,DF,25.0,17,14,13.8,0,0,3,0
Bruno Peres,Serie A,DF,30.0,47,29,30.6,2,3,7,0
Bruno Petković,Serie A,FW,22.0,25,13,13.899999999999999,0,3,4,0
Bruno Soriano,La Liga,MF,35.0,7,1,2.9,0,0,1,0
Bruno Zuculini,Serie A,MF,24.0,16,15,13.5,2,0,6,5
Bryan,La Liga,"MF,FW",19.0,37,14,19.0,4,1,6,0
Bryan Cristante,Serie A,"DF,MF",25.0,113,85,85.6,14,10,25,1
Bryan Dabo,Serie A,MF,28.0,79,48,49.89999999999999,5,5,24,2
Bryan Mbeumo,Ligue 1,"FW,MF",17.0,4,0,0.7,0,0,0,0
Bryan Pelé,Ligue 1,"FW,MF",25.0,31,19,18.0,2,2,1,0
Bryan Soumaré,Ligue 1,"MF,FW",20.0,12,4,4.3,0,0,0,0
Bukayo Saka,Premier League,"FW,DF",19.0,44,35,35.3,5,6,6,0
Burak Yılmaz,Ligue 1,FW,35.0,18,15,14.9,9,4,4,0
Burgui,La Liga,MF,25.0,41,17,17.9,2,1,2,0
Cafú,Ligue 1,MF,24.0,10,8,7.5,0,0,2,0
Caio Henrique Oliveira Silva,Ligue 1,DF,23.0,13,9,9.4,0,2,0,0
Caiuby,Bundesliga,"FW,MF",30.0,47,42,42.9,6,8,11,0
Cala,La Liga,DF,31.0,35,35,34.5,3,2,13,0
Caleb Stanko,Bundesliga,"DF,MF",24.0,6,1,2.1,0,0,0,0
Callum Hudson-Odoi,Premier League,FW,20.0,44,14,18.9,3,7,1,0
Callum Paterson,Premier League,"FW,MF",23.0,27,21,22.2,4,1,4,0
Callum Robinson,Premier League,"FW,MF",25.0,34,21,18.9,3,1,1,0
Callum Slattery,Premier League,MF,19.0,3,1,1.2,0,0,0,0
Callum Wilson,Premier League,FW,28.0,109,100,98.10000000000001,38,15,15,0
Calum Chambers,Premier League,DF,24.0,57,52,50.599999999999994,3,1,15,0
Camillo Ciano,Serie A,"FW,MF",28.0,33,28,27.3,7,4,12,0
Can Bozdogan,Bundesliga,MF,19.0,12,5,7.1,0,0,2,1
Caoimhin Kelleher,Premier League,GK,22.0,1,1,1.0,0,0,0,0
Carl Jenkinson,Premier League,DF,26.0,3,2,1.8,0,0,0,0
Carles Aleñá,La Liga,MF,23.0,42,17,19.7,3,1,5,0
Carles Gil,La Liga,"FW,MF",24.0,10,6,5.3,0,2,0,0
Carles Planas,La Liga,"DF,MF",27.0,12,6,6.800000000000001,0,1,3,0
Carles Pérez,Serie A,"MF,FW",22.0,34,11,14.200000000000001,3,5,2,0
Carlo Pinsoglio,Serie A,GK,29.0,3,1,1.5,0,0,0,0
