Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Patrick van Aanholt,1227.0,1558.0,32.0,25.0
Max Aarons,1316.0,1684.0,24.0,32.0
Yunis Abdelhamid,1328.0,1515.0,2.0,3.0
Suleiman Abdullahi,18.0,40.0,1.0,2.0
Mehdi Abeid,801.0,957.0,26.0,6.0
Charles Abi,74.0,132.0,5.0,2.0
David Abraham,742.0,896.0,2.0,7.0
Tammy Abraham,288.0,412.0,18.0,5.0
Amir Abrashi,298.0,342.0,4.0,5.0
Francesco Acerbi,1809.0,2011.0,7.0,14.0
Che Adams,184.0,265.0,11.0,3.0
Tyler Adams,595.0,699.0,6.0,8.0
Sargis Adamyan,140.0,191.0,7.0,4.0
Antonio Adán,4.0,6.0,0.0,0.0
Bobby Adekanye,41.0,46.0,2.0,0.0
Claud Adjapong,61.0,80.0,0.0,0.0
Amine Adli,21.0,27.0,2.0,1.0
Yacine Adli,460.0,581.0,18.0,8.0
Adrián,227.0,314.0,0.0,0.0
Aritz Aduriz,33.0,57.0,0.0,0.0
Lumor Agbenyenu,709.0,969.0,16.0,21.0
Martin Agirregabiria,722.0,1014.0,12.0,14.0
Lucien Agoume,36.0,39.0,1.0,2.0
Kevin Agudelo,29.0,36.0,2.0,1.0
Kevin Agudelo,245.0,301.0,11.0,5.0
Nayef Aguerd,487.0,572.0,0.0,0.0
Sergio Agüero,284.0,367.0,16.0,20.0
Ruben Aguilar,666.0,791.0,14.0,25.0
Emmanuel Agyemang-Badu,91.0,104.0,1.0,1.0
Jean-Eudes Aholou,262.0,313.0,3.0,0.0
Joseph Aidoo,1073.0,1223.0,2.0,2.0
Ola Aina,863.0,1160.0,21.0,21.0
Youssef Aït Bennasser,357.0,413.0,4.0,3.0
Rayan Aït Nouri,625.0,801.0,12.0,18.0
Albian Ajeti,15.0,18.0,2.0,0.0
Ludovic Ajorque,371.0,509.0,14.0,12.0
Manuel Akanji,1767.0,1929.0,3.0,2.0
Marley Aké,25.0,29.0,0.0,1.0
Nathan Aké,1042.0,1183.0,4.0,10.0
Chadrac Akolo,172.0,206.0,5.0,2.0
Kevin Akpoguma,659.0,754.0,1.0,1.0
David Alaba,2250.0,2478.0,18.0,24.0
Sofiane Alakouch,664.0,810.0,13.0,13.0
Lucas Alario,227.0,308.0,15.0,9.0
Jordi Alba,1864.0,2141.0,28.0,38.0
Luis Alberto,1792.0,2264.0,108.0,97.0
Raúl Albiol,1619.0,1882.0,5.0,5.0
Marc Albrighton,344.0,507.0,18.0,20.0
Paco Alcácer,181.0,230.0,9.0,6.0
Paco Alcácer,84.0,112.0,5.0,2.0
Thiago Alcántara,1649.0,1840.0,22.0,18.0
Rubén Alcaraz,831.0,1059.0,14.0,4.0
Toby Alderweireld,1567.0,1895.0,11.0,16.0
Haitam Aleesami,910.0,1170.0,13.0,12.0
Álex Alegría,23.0,35.0,0.0,0.0
Carles Aleñá,143.0,156.0,0.0,1.0
Carles Aleñá,333.0,389.0,4.0,4.0
Rúnar Alex Rúnarsson,237.0,327.0,2.0,0.0
Trent Alexander-Arnold,2254.0,3147.0,85.0,90.0
Enrico Alfonso,53.0,75.0,0.0,0.0
Rachid Alioui,342.0,467.0,18.0,9.0
Alisson,794.0,925.0,2.0,1.0
