Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Patrick van Aanholt,Premier League,DF,28.0,29,29,27.9,3,2,0,0
Max Aarons,Premier League,DF,19.0,36,36,36.0,0,1,7,0
Yunis Abdelhamid,Ligue 1,DF,31.0,28,28,28.0,3,0,0,0
Suleiman Abdullahi,Bundesliga,"FW,MF",22.0,6,1,1.7,1,0,1,0
Mehdi Abeid,Ligue 1,MF,26.0,25,20,20.2,1,2,5,0
Charles Abi,Ligue 1,FW,19.0,15,6,6.9,0,0,2,0
David Abraham,Bundesliga,DF,33.0,20,19,18.8,2,0,2,1
Tammy Abraham,Premier League,FW,21.0,34,25,24.6,15,3,2,0
Amir Abrashi,Bundesliga,MF,29.0,13,8,7.4,0,0,3,0
Francesco Acerbi,Serie A,DF,31.0,36,36,35.1,2,2,4,0
Che Adams,Premier League,FW,23.0,30,12,12.3,4,2,0,0
Tyler Adams,Bundesliga,"DF,MF",20.0,14,10,10.6,0,0,0,0
Sargis Adamyan,Bundesliga,"FW,MF",26.0,15,6,8.3,5,1,1,0
Antonio Adán,La Liga,GK,32.0,1,0,0.3,0,0,0,0
Bobby Adekanye,Serie A,FW,20.0,11,0,2.1,1,0,1,0
Claud Adjapong,Serie A,DF,21.0,5,2,2.6,0,0,0,0
Amine Adli,Ligue 1,"MF,FW",19.0,4,0,0.5,0,0,1,0
Yacine Adli,Ligue 1,"MF,FW",19.0,21,11,11.3,3,3,3,0
Adrián,Premier League,GK,32.0,11,9,9.7,0,0,1,0
Aritz Aduriz,La Liga,FW,38.0,14,0,2.3,1,0,3,0
Lumor Agbenyenu,La Liga,DF,22.0,23,20,20.1,1,0,5,1
Martin Agirregabiria,La Liga,DF,23.0,31,23,23.3,1,1,5,1
Lucien Agoume,Serie A,MF,17.0,3,0,0.8,0,0,1,0
Kevin Agudelo,Serie A,"MF,FW",20.0,3,1,0.7,0,0,0,0
Kevin Agudelo,Serie A,"MF,FW",20.0,10,7,7.4,1,1,5,1
Nayef Aguerd,Ligue 1,DF,23.0,11,11,10.6,1,0,2,0
Sergio Agüero,Premier League,FW,31.0,24,18,16.1,16,3,1,0
Ruben Aguilar,Ligue 1,DF,26.0,19,11,11.9,0,2,2,2
Emmanuel Agyemang-Badu,Serie A,"MF,FW",28.0,10,2,2.6,0,0,2,0
Jean-Eudes Aholou,Ligue 1,MF,25.0,11,8,7.0,1,1,3,1
Joseph Aidoo,La Liga,DF,23.0,32,27,27.8,0,1,4,0
Ola Aina,Serie A,DF,22.0,32,20,23.1,0,2,8,0
Youssef Aït Bennasser,Ligue 1,MF,23.0,12,6,6.0,0,1,1,0
Rayan Aït Nouri,Ligue 1,DF,18.0,17,16,14.2,0,2,3,0
Albian Ajeti,Premier League,"MF,FW",22.0,9,0,1.5,0,0,0,0
Ludovic Ajorque,Ligue 1,FW,25.0,26,24,22.9,8,4,3,0
Manuel Akanji,Bundesliga,DF,24.0,29,25,25.7,0,1,2,0
Marley Aké,Ligue 1,"FW,MF",18.0,9,0,1.1,0,0,1,0
Nathan Aké,Premier League,DF,24.0,29,29,27.8,2,2,2,0
Chadrac Akolo,Ligue 1,"FW,MF",24.0,15,5,6.0,2,1,1,0
Kevin Akpoguma,Bundesliga,DF,24.0,18,12,12.7,0,0,2,0
David Alaba,Bundesliga,DF,27.0,28,27,27.8,1,1,0,0
Sofiane Alakouch,Ligue 1,DF,21.0,17,17,15.6,0,0,3,0
Lucas Alario,Bundesliga,FW,26.0,24,11,13.0,7,1,6,0
Jordi Alba,La Liga,DF,30.0,27,25,24.3,2,5,7,0
Luis Alberto,Serie A,MF,26.0,36,36,34.6,6,15,5,0
Raúl Albiol,La Liga,DF,33.0,36,36,36.0,1,0,9,0
Marc Albrighton,Premier League,"MF,DF",29.0,20,9,9.6,0,3,2,0
Paco Alcácer,La Liga,FW,25.0,13,11,10.3,4,1,1,0
Paco Alcácer,Bundesliga,FW,25.0,11,6,5.9,5,1,0,0
Thiago Alcántara,Bundesliga,MF,28.0,24,20,19.7,3,0,7,0
Rubén Alcaraz,La Liga,MF,28.0,27,20,21.4,2,2,10,0
Toby Alderweireld,Premier League,DF,30.0,33,33,32.9,2,2,7,0
Haitam Aleesami,Ligue 1,DF,28.0,22,21,21.3,1,1,4,0
Álex Alegría,La Liga,FW,26.0,6,0,1.2,0,0,0,0
Carles Aleñá,La Liga,MF,21.0,4,2,1.9,0,0,0,0
Carles Aleñá,La Liga,"MF,FW",21.0,17,7,8.2,1,0,1,0
Rúnar Alex Rúnarsson,Ligue 1,GK,24.0,11,9,10.0,0,0,0,0
Trent Alexander-Arnold,Premier League,DF,20.0,38,35,35.3,4,13,5,0
Enrico Alfonso,Serie A,GK,31.0,4,4,3.1,0,0,0,0
Rachid Alioui,Ligue 1,FW,27.0,28,17,17.4,6,1,1,0
Alisson,Premier League,GK,26.0,29,29,28.3,0,1,0,1
Allan,Serie A,MF,28.0,23,16,14.2,2,1,3,0
Dele Alli,Premier League,"MF,FW",23.0,25,21,20.5,8,4,2,0
Miguel Almirón,Premier League,"MF,FW",25.0,36,35,33.6,4,2,5,0
Marcos Alonso,Premier League,DF,28.0,18,15,15.9,4,2,4,0
Mickaël Alphonse,Ligue 1,DF,30.0,17,15,15.3,0,1,2,0
Sergio Álvarez,La Liga,GK,32.0,2,2,2.0,0,0,3,0
Sergio Álvarez,La Liga,"MF,DF",27.0,18,14,12.7,0,0,6,0
Yeray Álvarez,La Liga,DF,24.0,32,32,31.2,0,0,2,0
Bruno Alves,Serie A,DF,37.0,33,31,29.7,0,0,4,0
Steven Alzate,Premier League,"MF,DF",20.0,19,12,13.2,0,0,1,0
Ibrahim Amadou,Premier League,"DF,MF",26.0,11,8,8.4,0,0,1,0
Ibrahim Amadou,La Liga,MF,26.0,10,9,8.6,0,0,2,0
Romain Amalfitano,Ligue 1,MF,29.0,26,18,18.8,1,1,5,0
Amath,La Liga,MF,23.0,7,0,0.7,0,0,0,0
Jordan Amavi,Ligue 1,DF,25.0,26,24,24.0,1,1,9,0
Thierry Ambrose,Ligue 1,FW,22.0,18,4,6.1,0,0,1,0
Kelvin Amian,Ligue 1,DF,21.0,20,17,18.1,0,2,3,0
Nadiem Amiri,Bundesliga,"MF,FW",22.0,30,22,20.6,1,2,3,0
Ethan Ampadu,Bundesliga,DF,18.0,3,0,0.9,0,0,0,0
Opoku Ampomah,Bundesliga,FW,23.0,12,5,5.6,0,0,1,0
Sofyan Amrabat,Serie A,MF,22.0,34,33,32.4,1,1,10,2
Joachim Andersen,Ligue 1,DF,23.0,18,17,17.0,1,0,3,0
