Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Nordin Amrabat,La Liga,"FW,MF",30.0,30,17,18.0,2,1,6,2
Jon Ander Serantes,La Liga,GK,27.0,1,1,1.0,0,0,0,0
Joachim Andersen,Serie A,DF,21.0,7,6,6.1,0,0,0,0
Felipe Anderson,Serie A,"MF,FW",24.0,21,9,12.9,4,6,0,0
Florin Andone,La Liga,FW,24.0,29,16,18.2,7,3,6,0
Nícolas Andrade,Serie A,GK,29.0,36,36,36.0,0,0,2,1
Benjamin André,Ligue 1,MF,26.0,34,34,33.5,3,2,11,2
Marco Andreolli,Serie A,DF,31.0,23,20,20.3,0,0,5,0
Yoann Andreu,Ligue 1,DF,28.0,23,23,23.0,1,2,4,0
Miguel Ángel Guerrero,La Liga,FW,27.0,22,15,16.1,4,3,3,0
Miguel Ángel Moyá,La Liga,GK,33.0,9,9,8.5,0,0,0,0
Miguel Ángel Rubio,La Liga,DF,19.0,1,0,0.3,0,0,0,0
José Ángel,La Liga,DF,27.0,30,28,26.9,0,7,4,0
Gabriele Angella,Serie A,DF,28.0,12,9,9.9,0,0,3,0
Cristian Ansaldi,Serie A,"DF,MF",30.0,25,20,20.8,1,3,6,2
Luca Antei,Serie A,DF,25.0,8,8,6.6,0,0,1,1
Mirco Antenucci,Serie A,FW,32.0,33,28,28.6,11,4,1,0
Waldemar Anton,Bundesliga,"DF,MF",21.0,27,26,25.3,1,0,1,0
Luca Antonelli,Serie A,"DF,MF",30.0,6,1,1.6,0,0,1,0
Michail Antonio,Premier League,"FW,MF",27.0,21,16,15.0,3,1,1,0
Mirko Antonucci,Serie A,FW,18.0,2,0,0.3,0,1,0,0
Vitorino Antunes,La Liga,DF,30.0,34,31,31.1,0,2,14,0
Dennis Aogo,Bundesliga,"MF,DF",30.0,29,22,21.7,0,6,5,0
Houssem Aouar,Ligue 1,"MF,FW",19.0,32,27,27.0,6,4,1,0
Alberto Aquilani,La Liga,MF,33.0,21,15,14.4,0,0,4,0
Mauro Arambarri,La Liga,MF,21.0,27,26,23.6,1,2,9,2
Guilherme Arana,La Liga,DF,20.0,3,2,2.1,0,0,0,0
Charles Aránguiz,Bundesliga,MF,28.0,27,27,25.6,1,3,4,0
Luiz Araújo,Ligue 1,"FW,MF",21.0,34,24,22.4,5,2,5,0
Sergio Araujo,La Liga,"FW,MF",25.0,2,0,0.4,0,0,0,0
Anaitz Arbilla,La Liga,DF,30.0,29,26,26.8,2,1,8,0
Alphonse Areola,Ligue 1,GK,24.0,34,34,34.0,0,0,0,0
Scott Arfield,Premier League,"FW,MF",28.0,18,15,14.8,2,1,3,0
Samuel Armenteros,Serie A,FW,27.0,9,5,4.8,1,0,1,0
Yoël Armougom,Ligue 1,"MF,DF",19.0,4,1,1.5,0,0,0,0
José Arnaiz,La Liga,MF,22.0,1,0,0.1,0,0,0,0
Marko Arnautović,Premier League,"FW,MF",28.0,31,28,25.7,11,6,5,1
Maximilian Arnold,Bundesliga,MF,23.0,29,28,27.3,2,0,9,1
Jann-Fiete Arp,Bundesliga,FW,17.0,18,8,9.4,2,0,1,0
