Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards,Total Shots,Shots on Target,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA,Players Dribbled Past,Dribbles into PA,Current Market Value (USD)
Jamal Lewis,Premier League,DF,22.0,43.0,37.0,37.900000000000006,1.0,0.0,8.0,0.0,10.0,5.0,1386.0,1767.0,24.0,33.0,48.0,10.0,16500000.0
Roberto Gagliardini,Serie A,MF,26.0,87.0,66.0,62.1,11.0,3.0,17.0,0.0,90.0,33.0,3018.0,3521.0,60.0,51.0,36.0,12.0,16500000.0
Lucas Vázquez,La Liga,"FW,DF",29.0,97.0,52.0,57.4,9.0,13.0,12.0,1.0,80.0,34.0,2724.0,3358.0,121.0,144.0,112.0,75.0,16500000.0
Oliver McBurnie,Premier League,FW,24.0,60.0,34.0,35.8,7.0,1.0,5.0,0.0,79.0,37.0,645.0,982.0,21.0,26.0,37.0,11.0,16500000.0
Luis Suárez,La Liga,FW,33.0,107.0,97.0,96.0,71.0,23.0,21.0,0.0,347.0,164.0,2283.0,3024.0,147.0,113.0,153.0,87.0,16500000.0
Adam Webster,Premier League,DF,26.0,49.0,49.0,47.6,3.0,1.0,7.0,0.0,33.0,12.0,2510.0,2994.0,15.0,10.0,21.0,5.0,16500000.0
Che Adams,Premier League,FW,24.0,47.0,29.0,28.0,8.0,6.0,1.0,0.0,67.0,24.0,421.0,607.0,29.0,14.0,27.0,14.0,16500000.0
Rhian Brewster,Premier League,FW,20.0,15.0,6.0,7.3,0.0,0.0,0.0,0.0,11.0,3.0,94.0,132.0,4.0,2.0,6.0,0.0,16500000.0
Papu Gómez,Serie A,"FW,MF",32.0,114.0,108.0,101.80000000000001,24.0,37.0,9.0,0.0,325.0,123.0,4558.0,5930.0,342.0,343.0,276.0,154.0,16500000.0
Jean-Philippe Mateta,Bundesliga,FW,23.0,67.0,53.0,50.4,24.0,4.0,6.0,1.0,157.0,58.0,642.0,930.0,44.0,18.0,77.0,31.0,16500000.0
Jannik Vestergaard,Premier League,DF,28.0,87.0,84.0,83.6,7.0,0.0,10.0,0.0,58.0,17.0,3619.0,4388.0,17.0,16.0,33.0,1.0,16500000.0
Patrick Bamford,Premier League,FW,27.0,18.0,18.0,17.2,10.0,2.0,1.0,0.0,64.0,26.0,175.0,233.0,9.0,6.0,12.0,11.0,16500000.0
Yangel Herrera,La Liga,MF,23.0,63.0,55.0,52.5,4.0,3.0,23.0,0.0,67.0,11.0,1394.0,1895.0,28.0,22.0,48.0,0.0,16500000.0
Rafael Tolói,Serie A,DF,30.0,99.0,91.0,88.3,6.0,11.0,22.0,3.0,89.0,28.0,4365.0,5292.0,46.0,50.0,43.0,9.0,16500000.0
Rafinha,Bundesliga,DF,32.0,108.0,79.0,78.9,8.0,9.0,13.0,0.0,82.0,29.0,4988.0,5639.0,95.0,101.0,151.0,26.0,16500000.0
Jonjo Shelvey,Premier League,MF,28.0,82.0,69.0,68.3,8.0,6.0,9.0,3.0,124.0,34.0,2620.0,3707.0,118.0,85.0,69.0,15.0,15950000.0
