Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Roger Assalé,60.0,91.0,2.0,2.0
Miguel Atienza,19.0,27.0,0.0,0.0
Youcef Attal,261.0,315.0,1.0,3.0
Pierre-Emerick Aubameyang,355.0,474.0,14.0,23.0
Emil Audero,394.0,590.0,1.0,0.0
Tommaso Augello,680.0,907.0,10.0,16.0
Jean-Kévin Augustin,5.0,5.0,0.0,0.0
Ludwig Augustinsson,387.0,598.0,22.0,14.0
Serge Aurier,358.0,479.0,3.0,13.0
Charlie Austin,24.0,33.0,0.0,0.0
Taiwo Awoniyi,129.0,191.0,11.0,1.0
Jordan Ayew,180.0,230.0,2.0,2.0
Kaan Ayhan,425.0,457.0,1.0,2.0
Luke Ayling,1106.0,1373.0,15.0,18.0
Ramon Azeez,28.0,38.0,0.0,0.0
César Azpilicueta,530.0,631.0,5.0,6.0
Ludovic Baal,184.0,218.0,2.0,2.0
Carlos Bacca,33.0,49.0,4.0,2.0
Loïc Bade,863.0,992.0,1.0,1.0
Milan Badelj,530.0,660.0,12.0,16.0
Édgar Badía,506.0,648.0,1.0,0.0
Alejandro Baena,13.0,14.0,0.0,0.0
Miguel Baeza,131.0,160.0,6.0,6.0
Stéphane Bahoken,157.0,225.0,10.0,2.0
Leon Bailey,395.0,560.0,25.0,21.0
Eric Bailly,214.0,243.0,0.0,0.0
Tiemoué Bakayoko,649.0,710.0,8.0,4.0
Mitchel Bakker,880.0,989.0,13.0,21.0
Ridle Baku,521.0,691.0,14.0,25.0
Ridle Baku,62.0,88.0,0.0,2.0
Dilane Bakwa,18.0,21.0,1.0,0.0
Fabián Balbuena,319.0,420.0,0.0,0.0
Keita Baldé,61.0,84.0,4.0,3.0
George Baldock,486.0,645.0,11.0,18.0
Gareth Bale,32.0,58.0,3.0,1.0
Mikel Balenziaga,190.0,266.0,0.0,1.0
Leonardo Balerdi,169.0,203.0,0.0,0.0
Fodé Ballo-Touré,271.0,330.0,5.0,7.0
Botond Balogh,51.0,70.0,0.0,0.0
Abdoulaye Bamba,436.0,551.0,7.0,9.0
Jonathan Bamba,811.0,1005.0,33.0,34.0
Robson Bambu,475.0,541.0,1.0,0.0
Patrick Bamford,175.0,233.0,9.0,6.0
Mattia Bani,438.0,518.0,1.0,2.0
Simon Banza,108.0,150.0,5.0,3.0
Antonín Barák,382.0,492.0,11.0,10.0
Federico Barba,464.0,595.0,4.0,8.0
Danilo Barbosa,178.0,202.0,1.0,1.0
Sergio Barcia,13.0,34.0,0.0,0.0
Melvin Bard,235.0,286.0,2.0,4.0
Enis Bardhi,219.0,308.0,10.0,12.0
Phil Bardsley,116.0,163.0,0.0,6.0
Nicolò Barella,741.0,896.0,25.0,39.0
Kike Barja,78.0,119.0,5.0,5.0
Ross Barkley,159.0,201.0,16.0,10.0
Ross Barkley,22.0,26.0,1.0,1.0
Aymen Barkok,213.0,302.0,20.0,13.0
Ashley Barnes,144.0,220.0,10.0,6.0
Harvey Barnes,335.0,459.0,12.0,13.0
Antonio Barragán,631.0,753.0,3.0,7.0
Antonio Barreca,22.0,38.0,1.0,1.0
Leandro Barreiro Martins,215.0,308.0,8.0,5.0
Ander Barrenetxea,162.0,231.0,6.0,6.0
Jacob Barrett Laursen,167.0,213.0,2.0,2.0
Musa Barrow,424.0,603.0,30.0,17.0
Kyle Bartley,274.0,346.0,1.0,2.0
Paolo Bartolomei,92.0,127.0,5.0,3.0
Marc Bartra,571.0,697.0,1.0,1.0
Chris Basham,515.0,658.0,7.0,10.0
Toma Bašić,663.0,805.0,15.0,11.0
Alessandro Bastoni,966.0,1073.0,4.0,5.0
Simone Bastoni,384.0,481.0,9.0,9.0
Bastos,39.0,42.0,0.0,2.0
Michy Batshuayi,55.0,83.0,4.0,2.0
Rodrigo Battaglia,420.0,506.0,1.0,2.0
Cristian Battocchio,168.0,209.0,4.0,1.0
Oliver Baumann,524.0,673.0,0.0,0.0
Julian Baumgartlinger,575.0,664.0,8.0,6.0
Christoph Baumgartner,368.0,491.0,15.0,16.0
Jon Bautista,17.0,33.0,2.0,1.0
Paul Baysse,845.0,948.0,3.0,2.0
Noah Joel Sarenren Bazee,6.0,12.0,1.0,0.0
Ihlas Bebou,177.0,228.0,14.0,12.0
Rodrigo Becão,618.0,703.0,2.0,1.0
Sheraldo Becker,188.0,298.0,16.0,12.0
Timo Becker,61.0,97.0,1.0,2.0
Jan Bednarek,957.0,1124.0,3.0,4.0
Donny van de Beek,115.0,139.0,2.0,1.0
Valon Behrami,79.0,106.0,1.0,1.0
Brian Behrendt,41.0,56.0,0.0,0.0
Maximilian Beier,4.0,4.0,0.0,0.0
Ishak Belfodil,82.0,115.0,5.0,3.0
Haris Belkebla,685.0,791.0,6.0,8.0
Stefan Bell,9.0,10.0,0.0,0.0
Karim Bellarabi,108.0,165.0,5.0,6.0
Jean-Ricner Bellegarde,370.0,483.0,12.0,14.0
Héctor Bellerín,736.0,883.0,17.0,21.0
Jude Bellingham,404.0,485.0,10.0,15.0
Andrea Belotti,272.0,385.0,18.0,22.0
Fran Beltrán,268.0,286.0,3.0,5.0
Hatem Ben Arfa,373.0,480.0,23.0,14.0
Salim Ben Seghir,8.0,8.0,0.0,0.0
Wissam Ben Yedder,362.0,481.0,20.0,20.0
Ahmad Benali,242.0,285.0,3.0,6.0
Samy Benchama,2.0,3.0,0.0,0.0
Lars Bender,555.0,670.0,7.0,11.0
Sven Bender,577.0,635.0,2.0,2.0
Darío Benedetto,171.0,252.0,9.0,4.0
László Bénes,80.0,110.0,4.0,0.0
Walter Benítez,539.0,664.0,1.0,0.0
Loris Benito,751.0,885.0,8.0,7.0
Bilal Benkhedim,33.0,49.0,1.0,0.0
Djamel Benlamri,12.0,13.0,0.0,0.0
Ismaël Bennacer,405.0,465.0,3.0,8.0
Saïd Benrahma,142.0,190.0,5.0,6.0
Yassine Benrahou,188.0,246.0,10.0,4.0
Ramy Bensebaini,332.0,399.0,4.0,6.0
Josh Benson,62.0,83.0,0.0,0.0
Nabil Bentaleb,170.0,207.0,1.0,1.0
Rodrigo Bentancur,784.0,876.0,12.0,11.0
Christian Benteke,114.0,181.0,8.0,6.0
Karim Benzema,489.0,594.0,17.0,13.0
Domenico Berardi,514.0,677.0,29.0,50.0
Yuri Berchiche,597.0,735.0,15.0,23.0
Álex Berenguer,32.0,47.0,0.0,1.0
Álex Berenguer,282.0,418.0,19.0,17.0
Bartosz Bereszyński,443.0,551.0,1.0,7.0
Jóhann Berg Guðmundsson,104.0,134.0,2.0,1.0
Sander Berge,349.0,426.0,12.0,4.0
Steven Bergwijn,201.0,250.0,7.0,6.0
Valon Berisha,645.0,800.0,22.0,13.0
Bernard,129.0,163.0,6.0,7.0
Federico Bernardeschi,135.0,179.0,8.0,6.0
Bernardo,62.0,87.0,2.0,2.0
Paul Bernardoni,318.0,503.0,0.0,0.0
Juan Bernat,117.0,129.0,2.0,5.0
Dimitry Bertaud,62.0,90.0,0.0,0.0
Ryan Bertrand,755.0,980.0,6.0,13.0
Daniel Bessa,4.0,5.0,0.0,0.0
Bartosz Bialek,29.0,44.0,3.0,4.0
Giulian Biancone,70.0,90.0,2.0,4.0
Ermin Bičakčić,54.0,62.0,0.0,0.0
Pedro Bigas,283.0,419.0,0.0,1.0
El Bilal Touré,124.0,174.0,7.0,2.0
Cristiano Biraghi,697.0,1000.0,33.0,27.0
Davide Biraschi,214.0,280.0,1.0,2.0
Yves Bissouma,675.0,786.0,6.0,12.0
Leonardo Bittencourt,233.0,323.0,11.0,14.0
Alejandro Blanco,45.0,65.0,2.0,0.0
Rubén Blanco,270.0,393.0,0.0,0.0
Ludovic Blas,370.0,458.0,11.0,8.0
Jérôme Boateng,868.0,989.0,3.0,11.0
Antonin Bobichon,153.0,197.0,9.0,2.0
Yann Bodiger,67.0,96.0,2.0,0.0
Jean-Paul Boëtius,332.0,473.0,17.0,12.0
Sacha Boey,418.0,535.0,6.0,7.0
Sacha Boey,76.0,89.0,1.0,1.0
Jeremie Boga,297.0,333.0,7.0,9.0
Melayro Bogarde,142.0,163.0,3.0,2.0
Jayden Bogle,104.0,137.0,3.0,3.0
Quentin Boisgard,238.0,366.0,14.0,7.0
Willy Boly,504.0,618.0,2.0,1.0
Giacomo Bonaventura,371.0,454.0,13.0,14.0
Federico Bonazzoli,57.0,66.0,3.0,3.0
Federico Bonazzoli,20.0,28.0,2.0,1.0
Kevin Bonifazi,369.0,406.0,0.0,2.0
Leonardo Bonucci,890.0,983.0,3.0,4.0
Dennis Borkowski,5.0,7.0,0.0,0.0
Sebastiaan Bornauw,428.0,525.0,1.0,1.0
Sven Botman,1209.0,1373.0,4.0,4.0
Denis Bouanga,226.0,364.0,12.0,11.0
Hicham Boudaoui,244.0,319.0,2.0,6.0
Ryad Boudebouz,280.0,370.0,19.0,4.0
Sofiane Boufal,80.0,107.0,2.0,5.0
Nassim Boujellab,80.0,120.0,2.0,2.0
Farid Boulaya,506.0,749.0,37.0,25.0
Yassine Bounou,322.0,415.0,0.0,0.0
Ismaëlben Boura,233.0,311.0,4.0,6.0
Mehdi Bourabia,281.0,331.0,4.0,2.0
Benjamin Bourigeaud,828.0,1044.0,29.0,17.0
Jarrod Bowen,306.0,460.0,16.0,15.0
Dedryck Boyata,705.0,796.0,5.0,2.0
John Boye,567.0,660.0,1.0,0.0
Lucas Boyé,159.0,190.0,2.0,2.0
Can Bozdogan,97.0,129.0,2.0,0.0
Umut Bozok,17.0,27.0,0.0,1.0
Domagoj Bradarić,620.0,767.0,6.0,10.0
Robbie Brady,201.0,288.0,6.0,6.0
Martin Braithwaite,141.0,172.0,4.0,4.0
Julian Brandt,424.0,498.0,21.0,19.0
Darko Brašanac,47.0,65.0,1.0,3.0
Lilian Brassier,30.0,40.0,0.0,0.0
Alvaro Bravo Jiménez,8.0,11.0,0.0,0.0
Claudio Bravo,208.0,305.0,1.0,0.0
Josip Brekalo,378.0,492.0,23.0,15.0
Gleison Bremer,748.0,851.0,4.0,2.0
Joshua Brenet,0.0,2.0,0.0,0.0
Rhian Brewster,94.0,132.0,4.0,2.0
Anthony Briançon,463.0,544.0,3.0,5.0
Jimmy Briand,92.0,131.0,2.0,0.0
Yan Brice Eteki,91.0,124.0,1.0,0.0
Dylan Bronn,704.0,852.0,2.0,5.0
John Brooks,715.0,861.0,2.0,1.0
Daniel Brosinski,366.0,564.0,15.0,12.0
Josh Brownhill,531.0,655.0,10.0,5.0
Marcelo Brozović,893.0,1038.0,27.0,20.0
Gastón Brugman,315.0,389.0,8.0,4.0
Juan Brunetta,65.0,84.0,4.0,2.0
Cédric Brunner,536.0,719.0,7.0,9.0
Jacob Bruun Larsen,15.0,19.0,0.0,0.0
Bryan,5.0,7.0,0.0,0.0
Bryan,243.0,394.0,25.0,22.0
Joe Bryan,152.0,214.0,3.0,3.0
Kean Bryan,48.0,72.0,1.0,1.0
Lucas Buadés,0.0,0.0,0.0,0.0
Ante Budimir,102.0,161.0,5.0,0.0
Gianluigi Buffon,120.0,136.0,0.0,0.0
Marius Bülter,98.0,157.0,7.0,7.0
Alessandro Buongiorno,116.0,131.0,0.0,0.0
Esteban Burgos,320.0,436.0,2.0,0.0
Jonathan Burkardt,153.0,218.0,4.0,3.0
Oliver Burke,107.0,151.0,12.0,4.0
Roman Bürki,401.0,492.0,0.0,1.0
Dan Burn,441.0,571.0,2.0,5.0
Patrick Burner,0.0,0.0,0.0,0.0
Patrick Burner,349.0,460.0,7.0,4.0
Maxime Busi,315.0,377.0,1.0,6.0
Sergio Busquets,1070.0,1174.0,16.0,13.0
David Button,16.0,37.0,0.0,0.0
Oskar Buur,14.0,15.0,0.0,0.0
Marcin Bułka,25.0,30.0,0.0,0.0
Erick Cabaco,228.0,321.0,0.0,0.0
Willy Caballero,24.0,26.0,0.0,0.0
Jimmy Cabot,184.0,253.0,7.0,7.0
Martín Cáceres,516.0,627.0,5.0,8.0
Anthony Caci,681.0,883.0,6.0,16.0
Mathieu Cafaro,274.0,419.0,9.0,11.0
Gary Cahill,212.0,245.0,3.0,1.0
Yannick Cahuzac,450.0,529.0,5.0,8.0
Felipe Caicedo,139.0,196.0,4.0,1.0
Marc-Aurèle Caillard,19.0,29.0,0.0,0.0
Tom Cairney,551.0,621.0,20.0,10.0
Cala,264.0,379.0,2.0,1.0
Arturo Calabresi,4.0,6.0,0.0,0.0
Davide Calabria,808.0,1039.0,15.0,17.0
Riccardo Calafiori,8.0,9.0,0.0,0.0
Mattia Caldara,27.0,29.0,0.0,0.0
Luca Caldirola,299.0,350.0,2.0,2.0
Duje Ćaleta-Car,787.0,907.0,3.0,1.0
Hakan Çalhanoğlu,686.0,895.0,59.0,36.0
Fabrizio Caligara,53.0,68.0,1.0,1.0
Daniel Caligiuri,502.0,688.0,24.0,16.0
José Callejón,127.0,175.0,5.0,8.0
Jonathan Calleri,111.0,178.0,6.0,3.0
Dominic Calvert-Lewin,239.0,325.0,9.0,4.0
Dani Calvo,155.0,192.0,0.0,0.0
Mahdi Camara,776.0,897.0,8.0,7.0
Eduardo Camavinga,702.0,784.0,10.0,7.0
José Campaña,387.0,504.0,12.0,22.0
Emre Can,726.0,835.0,13.0,8.0
Sergio Canales,571.0,691.0,29.0,20.0
João Cancelo,820.0,963.0,24.0,36.0
Antonio Candreva,379.0,589.0,26.0,23.0
Ander Capa,614.0,815.0,14.0,15.0
Pierrick Capelle,400.0,503.0,12.0,8.0
Étienne Capoue,32.0,38.0,0.0,1.0
Gianluca Caprari,295.0,415.0,20.0,12.0
Francesco Caputo,160.0,210.0,9.0,5.0
Maxence Caqueret,409.0,474.0,7.0,11.0
Andrea Carboni,130.0,167.0,1.0,1.0
Isaac Carcelen,374.0,527.0,3.0,8.0
Dani Cárdenas,24.0,29.0,0.0,0.0
Irvin Cardona,203.0,295.0,14.0,9.0
Marc Cardona,17.0,28.0,0.0,1.0
Ian Carlo Poveda,61.0,88.0,2.0,7.0
Diego Carlos,952.0,1057.0,3.0,1.0
Juan Carlos,66.0,88.0,4.0,2.0
Lionel Carole,301.0,407.0,4.0,6.0
Yannick Carrasco,293.0,380.0,20.0,13.0
Sergio Carreira,91.0,118.0,0.0,2.0
Guido Carrillo,25.0,41.0,0.0,0.0
Andy Carroll,66.0,111.0,2.0,3.0
Dani Carvajal,595.0,703.0,7.0,15.0
William Carvalho,612.0,718.0,9.0,5.0
Casemiro,676.0,806.0,6.0,8.0
Matty Cash,496.0,677.0,14.0,14.0
Kiko Casilla,32.0,33.0,0.0,0.0
Giuseppe Caso,1.0,3.0,0.0,0.0
Moreto Cassamã,496.0,581.0,7.0,2.0
Timothy Castagne,463.0,581.0,8.0,12.0
Koen Casteels,411.0,554.0,1.0,0.0
Jean-Charles Castelletto,251.0,273.0,1.0,1.0
Samu Castillejo,167.0,222.0,4.0,7.0
Gonzalo Castro,407.0,556.0,31.0,23.0
Gaetano Castrovilli,407.0,522.0,14.0,19.0
Danilo Cataldi,207.0,252.0,3.0,2.0
Ivan Cavaleiro,294.0,404.0,18.0,9.0
Edinson Cavani,78.0,104.0,5.0,4.0
Dani Ceballos,704.0,814.0,17.0,16.0
Federico Ceccherini,369.0,465.0,3.0,4.0
Federico Ceccherini,97.0,111.0,0.0,0.0
Zeki Çelik,483.0,625.0,11.0,11.0
Bersant Celina,404.0,537.0,26.0,25.0
Fabien Centonze,652.0,861.0,12.0,14.0
Luca Ceppitelli,215.0,244.0,0.0,0.0
Alberto Cerri,32.0,45.0,3.0,1.0
Sava Cestic,120.0,162.0,1.0,0.0
Julian Chabot,561.0,644.0,3.0,0.0
Fouad Chafik,406.0,528.0,4.0,4.0
Mehdi Chahiri,142.0,197.0,5.0,8.0
