Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Amath,La Liga,"MF,FW",22.0,15,13,11.1,1,2,4,0
Jordan Amavi,Ligue 1,DF,24.0,28,24,24.2,0,2,7,2
Kelvin Amian,Ligue 1,DF,20.0,32,32,32.0,0,1,6,0
Nadiem Amiri,Bundesliga,"MF,FW",21.0,13,10,8.4,3,1,1,0
Yanis Ammour,Ligue 1,MF,19.0,1,0,0.0,0,0,0,0
Luke Amos,Premier League,MF,21.0,1,0,0.0,0,0,0,0
Joachim Andersen,Serie A,DF,22.0,32,32,32.0,0,1,7,0
Felipe Anderson,Premier League,"FW,MF",25.0,36,36,33.8,9,4,3,0
Florin Andone,Premier League,FW,25.0,23,8,9.8,3,0,5,0
Benjamin André,Ligue 1,MF,27.0,30,28,27.7,3,1,8,1
Marco Andreolli,Serie A,DF,32.0,3,1,1.2,0,0,1,0
Marco Andreolli,Serie A,DF,32.0,8,7,7.2,0,0,2,0
Yoann Andreu,Ligue 1,DF,29.0,1,0,0.0,0,0,0,0
Miguel Ángel Moyá,La Liga,GK,34.0,11,11,11.0,0,0,1,0
José Ángel,La Liga,DF,28.0,35,34,33.6,1,1,10,0
Cristian Ansaldi,Serie A,"DF,MF",31.0,24,23,20.1,3,2,3,0
Mirco Antenucci,Serie A,FW,33.0,35,22,23.7,5,0,0,0
Waldemar Anton,Bundesliga,DF,22.0,34,34,34.0,1,0,4,0
Luca Antonelli,Serie A,"DF,MF",31.0,13,10,8.4,0,1,1,0
Mauro Antonio Burruchaga,Serie A,MF,20.0,1,0,0.6,0,0,0,0
Michail Antonio,Premier League,"FW,MF",28.0,33,22,23.4,6,4,3,0
Antoñito,La Liga,"DF,MF",30.0,30,18,20.7,2,1,5,0
Vitorino Antunes,La Liga,DF,31.0,28,25,24.2,1,3,5,0
Anuar,La Liga,MF,23.0,19,12,12.0,1,0,6,0
Dennis Aogo,Bundesliga,MF,31.0,15,13,11.4,0,0,1,0
Houssem Aouar,Ligue 1,MF,20.0,37,35,34.0,7,7,2,0
Emmanuel Apeh,La Liga,MF,21.0,2,0,0.2,0,0,0,0
Mauro Arambarri,La Liga,MF,22.0,33,32,29.7,1,2,8,0
Guilherme Arana,La Liga,"MF,DF",21.0,9,8,7.0,0,0,3,0
Charles Aránguiz,Bundesliga,MF,29.0,24,22,21.0,2,7,3,0
Luiz Araújo,Ligue 1,"FW,MF",22.0,25,6,8.7,3,2,2,1
Néstor Araujo,La Liga,DF,26.0,32,30,29.8,3,0,3,1
Anaitz Arbilla,La Liga,DF,31.0,25,22,21.7,1,2,6,1
Joaquín Ardaiz,Serie A,FW,19.0,1,0,0.2,0,0,0,0
Alphonse Areola,Ligue 1,GK,25.0,21,21,21.0,0,0,1,0
Santiago Arias,La Liga,DF,26.0,25,20,19.7,1,1,4,0
Lorenzo Ariaudo,Serie A,DF,29.0,19,19,18.7,0,0,2,0
Nicolò Armini,Serie A,DF,17.0,1,0,0.4,0,0,0,0
Yoël Armougom,Ligue 1,"DF,MF",20.0,29,20,20.6,0,1,5,1
Stuart Armstrong,Premier League,"MF,FW",26.0,29,16,15.9,3,2,2,0
José Arnaiz,La Liga,"DF,MF",23.0,6,0,1.3,0,0,0,0
Marko Arnautović,Premier League,FW,29.0,28,24,22.1,10,4,3,0
Maximilian Arnold,Bundesliga,MF,24.0,33,33,31.9,2,6,7,0
Kepa Arrizabalaga,Premier League,GK,23.0,36,36,36.0,0,0,2,0
Harry Arter,Premier League,MF,28.0,25,24,22.2,0,1,10,0
Kwadwo Asamoah,Serie A,DF,29.0,32,30,29.7,0,1,6,0
Takuma Asano,Bundesliga,"MF,FW",23.0,13,9,7.8,0,0,0,0
Santiago Ascacíbar,Bundesliga,MF,21.0,27,27,27.0,0,0,10,1
Sergio Asenjo,La Liga,GK,29.0,32,32,32.0,0,0,0,0
Marco Asensio,La Liga,FW,22.0,30,19,19.8,1,4,3,0
Iago Aspas,La Liga,FW,30.0,27,26,25.0,20,6,5,0
Simon Asta,Bundesliga,DF,17.0,1,1,1.0,0,0,1,0
Christian Atsu,Premier League,"MF,FW",26.0,28,15,16.6,1,0,2,0
Youcef Attal,Ligue 1,"DF,MF",22.0,29,25,25.1,6,0,8,0
Pierre-Emerick Aubameyang,Premier League,FW,29.0,36,30,30.3,22,5,0,0
Emil Audero,Serie A,GK,21.0,36,36,36.0,0,0,4,0
Jean-Kévin Augustin,Bundesliga,FW,21.0,17,4,5.1,3,0,0,0
Ludwig Augustinsson,Bundesliga,DF,24.0,34,34,33.6,1,4,5,0
Serge Aurier,Premier League,"DF,MF",25.0,8,6,6.3,0,2,1,0
Charlie Austin,Premier League,FW,29.0,25,11,10.9,2,2,1,0
Ezequiel Ávila,La Liga,"FW,MF",24.0,34,20,22.2,10,2,12,1
Jordan Ayew,Premier League,FW,26.0,20,14,13.1,1,2,3,0
Kaan Ayhan,Bundesliga,DF,23.0,28,28,27.2,4,1,10,0
Floyd Ayité,Premier League,"FW,MF",29.0,16,3,5.3,1,0,0,0
César Azpilicueta,Premier League,DF,28.0,38,38,37.8,1,5,4,0
Abdoulaye Ba,La Liga,DF,27.0,26,25,23.4,1,0,4,2
Florian Baak,Bundesliga,MF,19.0,1,0,0.0,0,0,0,0
Ludovic Baal,Ligue 1,DF,32.0,2,1,1.4,0,0,0,0
Khouma Babacar,Serie A,FW,25.0,29,16,16.5,7,2,0,0
Ryan Babel,Premier League,FW,31.0,16,15,13.9,5,3,3,0
Carlos Bacca,La Liga,FW,31.0,33,12,14.1,6,1,3,0
Juninho Bacuna,Premier League,"MF,DF",20.0,21,16,15.7,1,0,4,0
Leandro Bacuna,Premier League,"MF,DF",26.0,11,4,6.2,0,0,2,0
Milan Badelj,Serie A,MF,29.0,23,14,12.7,1,0,6,0
Holger Badstuber,Bundesliga,DF,29.0,10,5,5.8,0,0,1,0
Stéphane Bahoken,Ligue 1,FW,26.0,32,31,27.4,11,1,3,0
Daniel Baier,Bundesliga,MF,34.0,33,33,31.3,0,1,7,0
Leon Bailey,Bundesliga,"FW,MF",20.0,29,21,21.3,5,1,4,0
Eric Bailly,Premier League,DF,24.0,12,8,7.1,0,0,0,1
Leighton Baines,Premier League,DF,33.0,6,5,4.2,0,0,0,0
Marvin Bakalorz,Bundesliga,MF,28.0,25,16,16.3,1,0,5,0
Tiemoué Bakayoko,Serie A,MF,23.0,31,26,25.6,1,1,6,1
Ridle Baku,Bundesliga,MF,20.0,15,10,10.4,0,0,1,0
Fabián Balbuena,Premier League,DF,26.0,23,23,22.4,1,0,2,0
Keita Baldé,Serie A,"FW,MF",23.0,24,8,9.9,5,2,2,1
Gareth Bale,La Liga,FW,29.0,29,21,19.8,8,3,4,0
Mikel Balenziaga,La Liga,DF,30.0,11,6,5.8,0,0,0,0
Andrija Balić,Serie A,"FW,MF",20.0,4,0,0.3,0,0,0,0
Fodé Ballo-Touré,Ligue 1,DF,21.0,18,18,17.7,0,1,3,0
Fodé Ballo-Touré,Ligue 1,DF,21.0,18,18,17.7,0,3,4,0
Florent Balmont,Ligue 1,MF,38.0,20,15,12.0,0,1,3,0
Leon Balogun,Premier League,DF,30.0,8,5,6.6,1,0,2,0
Mario Balotelli,Ligue 1,FW,27.0,10,9,8.4,0,1,5,0
Mario Balotelli,Ligue 1,FW,27.0,15,12,10.4,8,0,5,1
Abdoulaye Bamba,Ligue 1,DF,28.0,30,29,28.6,0,4,6,0
Jonathan Bamba,Ligue 1,"FW,MF",22.0,38,35,33.4,13,3,4,0
Sol Bamba,Premier League,DF,33.0,28,28,27.5,4,1,7,0
Yacine Bammou,Ligue 1,"FW,MF",26.0,17,9,10.3,2,0,2,0
Éver Banega,La Liga,MF,30.0,32,32,29.6,3,5,17,2
Mattia Bani,Serie A,DF,24.0,30,29,29.0,0,0,8,1
Léo Baptistão,La Liga,"FW,MF",25.0,20,14,13.7,2,2,3,0
Antonín Barák,Serie A,"MF,FW",23.0,8,4,3.7,0,0,0,0
Federico Barba,Serie A,DF,24.0,30,29,27.6,0,0,6,2
